Season,All,All,All
Day,Weekday,Saturday,Sunday
Tariff,Any,Any,Any
StartDate,2008-01-01,2008-01-01,2008-01-01
EndDate,2008-12-31,2008-12-31,2008-12-31
Timezone, Europe/Basel,,
01:00,0.0208333,0.0208333,0.0208333
02:00,0.016666667,0.016666667,0.016666667
03:00,0.016666667,0.016666667,0.016666667
04:00,0.0125,0.0125,0.0125
05:00,0.0125,0.0125,0.0125
06:00,0.016666667,0.016666667,0.016666667
07:00,0.025,0.025,0.025
08:00,0.03333333,0.03333333,0.03333333
09:00,0.041666667,0.041666667,0.041666667
10:00,0.05,0.05,0.05
11:00,0.054166667,0.054166667,0.054166667
12:00,0.058333333,0.058333333,0.058333333
13:00,0.0625,0.0625,0.0625
14:00,0.066666667,0.066666667,0.066666667
15:00,0.066666667,0.066666667,0.066666667
16:00,0.066666667,0.066666667,0.066666667
17:00,0.066666667,0.066666667,0.066666667
18:00,0.066666667,0.066666667,0.066666667
19:00,0.05833333,0.05833333,0.05833333
20:00,0.054166667,0.054166667,0.054166667
21:00,0.045833333,0.045833333,0.045833333
22:00,0.0375,0.0375,0.0375
23:00,0.029166667,0.029166667,0.029166667
00:00,0.020833333,0.020833333,0.020833333
